nse_symbol,company_name,sector,industry,market_cap_tier,in_nifty50,in_nifty500
BDL,Bharat Dynamics Limited,Aerospace & Defense,,Mid,False,True
SIEMENS,Siemens Limited,Heavy Electrical Equipment,,Mid,False,True
RRKABEL,R R Kabel Limited,Cables - Electricals,,Mid,False,True
SYRMA,Syrma SGS Technology Limited,Industrial Products,,Mid,False,True
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,,Mid,False,True
ZENTEC,Zen Technologies Limited,Aerospace & Defense,,Mid,False,True
LLOYDSME,Lloyds Metals And Energy Limited,Industrial Minerals,,Mid,False,True
ANANTRAJ,Anant Raj Limited,Residential Commercial Projects,,Mid,False,True
GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,,Mid,False,True
ACUTAAS,Acutaas Chemicals Limited,Pharmaceuticals,,Mid,False,True
ITCHOTELS,ITC Hotels Limited,Hotels & Resorts,,Mid,False,True
IREDA,Indian Renewable Energy Development Agency Limited,Financial Institution,,Mid,False,True
IFCI,IFCI Limited,Financial Institution,,Mid,False,True
LICHSGFIN,LIC Housing Finance Limited,Housing Finance Company,,Mid,False,True
TATAELXSI,Tata Elxsi Limited,Computers - Software & Consulting,,Mid,False,True
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals,,Mid,False,True
MAHABANK,Bank of Maharashtra,Public Sector Bank,,Mid,False,True
ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier,,Mid,False,True
TIINDIA,Tube Investments of India Limited,Auto Components & Equipments,,Mid,False,True
EXIDEIND,Exide Industries Limited,Auto Components & Equipments,,Mid,False,True
WELCORP,Welspun Corp Limited,Iron & Steel Products,,Mid,False,True
PNBHOUSING,PNB Housing Finance Limited,Housing Finance Company,,Mid,False,True
BHARATFORG,Bharat Forge Limited,Auto Components & Equipments,,Mid,False,True
THERMAX,Thermax Limited,Heavy Electrical Equipment,,Mid,False,True
HEG,HEG Limited,Electrodes & Refractories,,Mid,False,True
HBLENGINE,HBL Engineering Limited,Other Industrial Products,,Mid,False,True
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilizers,,Mid,False,True
LTF,L&T Finance Limited,Investment Company,,Mid,False,True
SJVN,SJVN Limited,Power Generation,,Mid,False,True
FORTIS,Fortis Healthcare Limited,Hospital,,Mid,False,True
AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,,Mid,False,True
ENGINERSIN,Engineers India Limited,Civil Construction,,Mid,False,True
APOLLOTYRE,Apollo Tyres Limited,Tyres & Rubber Products,,Mid,False,True
NUVAMA,Nuvama Wealth Management Limited,Stockbroking & Allied,,Mid,False,True
NBCC,NBCC (India) Limited,Civil Construction,,Mid,False,True
COROMANDEL,Coromandel International Limited,Fertilizers,,Mid,False,True
